Date,Day ,Month,Year,Quarter,Open,High,Low,Close,Volume
23-03-1994,Wednesday,March,1994,Q1,0.265732,0.267787,0.258128,0.264823,256592939.8
24-03-1994,Thursday,March,1994,Q1,0.264823,0.265732,0.256389,0.260913,222733325.2
25-03-1994,Friday,March,1994,Q1,0.262078,0.262078,0.246946,0.246946,406925265.2
28-03-1994,Monday,March,1994,Q1,0.248853,0.256389,0.246946,0.250631,334617229.6
29-03-1994,Tuesday,March,1994,Q1,0.250631,0.254542,0.243126,0.246946,252839570.6
30-03-1994,Wednesday,March,1994,Q1,0.244933,0.250631,0.239442,0.244933,201101925.3
31-03-1994,Thursday,March,1994,Q1,0.244933,0.252706,0.237672,0.250631,247561009.3
04-04-1994,Monday,April,1994,Q2,0.243126,0.250631,0.239442,0.250631,199298154.3
05-04-1994,Tuesday,April,1994,Q2,0.254542,0.258128,0.252706,0.252706,115929056.3
06-04-1994,Wednesday,April,1994,Q2,0.256389,0.256389,0.246946,0.252706,152865528.5
07-04-1994,Thursday,April,1994,Q2,0.252706,0.254542,0.246946,0.251844,91618564.41
08-04-1994,Friday,April,1994,Q2,0.254542,0.256389,0.250631,0.252706,209417587
11-04-1994,Monday,April,1994,Q2,0.252706,0.252706,0.244933,0.252706,126499383.8
12-04-1994,Tuesday,April,1994,Q2,0.251844,0.251844,0.239442,0.241218,162030024.6
13-04-1994,Wednesday,April,1994,Q2,0.243126,0.244933,0.23553,0.239442,276075756
14-04-1994,Thursday,April,1994,Q2,0.2298,0.239442,0.226186,0.237672,262879438.3
15-04-1994,Friday,April,1994,Q2,0.23553,0.237672,0.226186,0.228042,223038334.1
18-04-1994,Monday,April,1994,Q2,0.2298,0.2298,0.220458,0.22348,272707020.4
19-04-1994,Tuesday,April,1994,Q2,0.224329,0.226186,0.21469,0.218661,196871108
20-04-1994,Wednesday,April,1994,Q2,0.220458,0.226186,0.211173,0.212863,333755165.1
21-04-1994,Thursday,April,1994,Q2,0.21469,0.2298,0.20357,0.22348,486143209.1
22-04-1994,Friday,April,1994,Q2,0.23553,0.241218,0.21469,0.224329,826344012.9
25-04-1994,Monday,April,1994,Q2,0.224329,0.233753,0.22261,0.233753,425400183.7
26-04-1994,Tuesday,April,1994,Q2,0.237672,0.237672,0.233753,0.23553,194470530.2
